method,ntaxa,bl,biastype,pitype,parameter,r,estbias,rmsd,resvar
FEL1,256,0.64,bias,equalpi,dN,0.898346992126429,0.0924887330439773,0.182822027890906,0.0211293263298236
FEL1,256,0.64,bias,unequalpi,dN,0.897551392988092,0.0796829478963581,0.169713729869113,0.0199703115542939
FEL1,256,0.64,nobias,equalpi,dN,0.922228666929288,-0.0406534236864398,0.11632325863661,0.0118931767817965
FEL1,256,0.64,nobias,unequalpi,dN,0.918999753030198,-0.040484754393283,0.117539156427233,0.0121437756466231
FEL1,512,0.0025,bias,equalpi,dN,0.371135171364693,0.386397599478127,0.93769401992058,0.761760487383146
FEL1,512,0.0025,bias,unequalpi,dN,0.364006467806538,0.367212241339101,0.914220131952911,0.731537028044108
FEL1,512,0.0025,nobias,equalpi,dN,0.413065903419296,0.160135612536934,0.692851650924486,0.473788013346954
FEL1,512,0.0025,nobias,unequalpi,dN,0.379602212156808,0.170839144000284,0.703983114095956,0.481254578510738
FEL1,512,0.01,bias,equalpi,dN,0.468248443858883,0.1329861231081,0.552236720229226,0.294121418184874
FEL1,512,0.01,bias,unequalpi,dN,0.460104217396619,0.146481483733471,0.573975911664192,0.316480259851763
FEL1,512,0.01,nobias,equalpi,dN,0.522689261723489,0.0139147829146869,0.442151158260964,0.198689395404168
FEL1,512,0.01,nobias,unequalpi,dN,0.516543780494638,0.0473709251475334,0.473584520811891,0.228250908355327
FEL1,512,0.04,bias,equalpi,dN,0.601303507291231,0.100232977667632,0.400847625608506,0.151050412837365
FEL1,512,0.04,bias,unequalpi,dN,0.612452714230061,0.104053535076543,0.3945826860711,0.146201817415668
FEL1,512,0.04,nobias,equalpi,dN,0.64351239583392,0.0140387860588825,0.33013899521529,0.110460025994331
FEL1,512,0.04,nobias,unequalpi,dN,0.650924377567716,0.0124757423295331,0.318243425633609,0.102177018113649
FEL1,512,0.16,bias,equalpi,dN,0.773752343655618,0.0947182169552001,0.262366755553578,0.0573621836857617
FEL1,512,0.16,bias,unequalpi,dN,0.783272851057816,0.0875832377070711,0.247259675472539,0.0517976067271523
FEL1,512,0.16,nobias,equalpi,dN,0.804889729612298,-0.00809326054388909,0.19802492126725,0.0396311131967555
FEL1,512,0.16,nobias,unequalpi,dN,0.806141654992105,-0.00272914374930079,0.194629887632621,0.0384204874612982
FEL1,512,0.64,bias,equalpi,dN,0.919188571362777,0.0928096963958773,0.168640603457146,0.016138252727476
FEL1,512,0.64,bias,unequalpi,dN,0.925605916289755,0.0833362551991065,0.156664655919494,0.0145245516455858
FEL1,512,0.64,nobias,equalpi,dN,0.939931564804995,-0.0427951705562248,0.103127689769179,0.00877124728100633
FEL1,512,0.64,nobias,unequalpi,dN,0.938726919178012,-0.0421785889622026,0.10356466451403,0.00893723835821106
FEL1,1024,0.0025,bias,equalpi,dN,0.403488758038751,0.183725622984549,0.67598076242129,0.439364531390478
FEL1,1024,0.0025,bias,unequalpi,dN,0.416257369971274,0.187039040560436,0.672928224327097,0.436916632158529
FEL1,1024,0.0025,nobias,equalpi,dN,0.451457615959691,0.0645162837512035,0.579061783005434,0.34672930561092
FEL1,1024,0.0025,nobias,unequalpi,dN,0.430767198485346,0.0586576054032655,0.559268038918988,0.32561477202747
FEL1,1024,0.01,bias,equalpi,dN,0.523579035081349,0.113955551100223,0.504314747255349,0.246391882852595
FEL1,1024,0.01,bias,unequalpi,dN,0.521699256432344,0.103087518836799,0.481537718766039,0.227747805947375
FEL1,1024,0.01,nobias,equalpi,dN,0.552077777044182,0.00651473616264565,0.402612021359627,0.166470189321289
FEL1,1024,0.01,nobias,unequalpi,dN,0.56347432552607,0.0237575361592832,0.406242100708582,0.169171410886635
FEL1,1024,0.04,bias,equalpi,dN,0.629734238159268,0.10401281111452,0.384780013192933,0.136582988304532
FEL1,1024,0.04,bias,unequalpi,dN,0.630899637372835,0.104089911352004,0.36504835288456,0.122597406635209
FEL1,1024,0.04,nobias,equalpi,dN,0.682880741265449,0.00799540515127233,0.292030144873511,0.086717156842361
FEL1,1024,0.04,nobias,unequalpi,dN,0.671540818371235,0.0164586926341989,0.300007830027764,0.0918066300661576
FEL1,1024,0.16,bias,equalpi,dN,0.796291128107363,0.0936235769644369,0.244438835071924,0.0485244345657006
FEL1,1024,0.16,bias,unequalpi,dN,0.808003497231964,0.087688389502776,0.230339001530435,0.0435984186472147
FEL1,1024,0.16,nobias,equalpi,dN,0.826567960874715,-0.0133960401309162,0.181298344181822,0.033030483840733
FEL1,1024,0.16,nobias,unequalpi,dN,0.835149587997842,-0.00780220853302507,0.175045101250293,0.0307076743989059
FEL1,1024,0.64,bias,equalpi,dN,0.932553226167007,0.0887722797249956,0.155944172310804,0.0130167267307294
FEL1,1024,0.64,bias,unequalpi,dN,0.938978056001949,0.0804912257467684,0.144240459339441,0.0115068515628588
FEL1,1024,0.64,nobias,equalpi,dN,0.951721669998562,-0.0442730935548041,0.0944333457112263,0.00687082050799323
FEL1,1024,0.64,nobias,unequalpi,dN,0.949694846481238,-0.0431282181838584,0.0945654580542345,0.00697263635092058
FEL1,2048,0.0025,bias,equalpi,dN,0.454790306240432,0.139199147053729,0.591004934027651,0.346590658116551
FEL1,2048,0.0025,bias,unequalpi,dN,0.452450021175244,0.136706287539577,0.578187386620273,0.330050446120422
FEL1,2048,0.0025,nobias,equalpi,dN,0.513350263505305,0.0234271528593188,0.462811574033184,0.219337469372897
FEL1,2048,0.0025,nobias,unequalpi,dN,0.516444039032764,0.0162033336522733,0.446694956058962,0.206564923572744
FEL1,2048,0.01,bias,equalpi,dN,0.558016449648124,0.109023794121752,0.454525210395816,0.199344964395072
FEL1,2048,0.01,bias,unequalpi,dN,0.555814271293345,0.117676005795158,0.470974651629937,0.215018145393592
FEL1,2048,0.01,nobias,equalpi,dN,0.600100643067236,0.00632439953031006,0.368395756954573,0.139576122947141
FEL1,2048,0.01,nobias,unequalpi,dN,0.596714991913977,0.0243028861101389,0.380081047181961,0.147123711441761
FEL1,2048,0.04,bias,equalpi,dN,0.641470050311355,0.0992194393743097,0.364728602579794,0.122881357593517
FEL1,2048,0.04,bias,unequalpi,dN,0.649667784497378,0.108605561615689,0.358219175482501,0.117206688495093
FEL1,2048,0.04,nobias,equalpi,dN,0.697021048937062,0.00152151298679922,0.280120762398933,0.0799919890515589
FEL1,2048,0.04,nobias,unequalpi,dN,0.693993740678998,0.0127503722230745,0.280770209576397,0.0801933567410328
FEL1,2048,0.16,bias,equalpi,dN,0.817935810471053,0.0944432326764332,0.231868104798098,0.0419895071082006
FEL1,2048,0.16,bias,unequalpi,dN,0.832450718363787,0.0918247385131657,0.216684316230074,0.0365461373072574
FEL1,2048,0.16,nobias,equalpi,dN,0.852568366951391,-0.0106966654424739,0.1652238607686,0.0274721278028033
FEL1,2048,0.16,nobias,unequalpi,dN,0.857132468301631,-0.00854859845074169,0.159593935527931,0.0257154755416257
FEL1,2048,0.64,bias,equalpi,dN,0.944320589674877,0.0906304718213162,0.150828847929047,0.0107560892460406
FEL1,2048,0.64,bias,unequalpi,dN,0.944526493184375,0.078537427848217,0.136712647007762,0.0100562215191754
FEL1,2048,0.64,nobias,equalpi,dN,0.962524818713739,-0.0436351613760852,0.0852150550239118,0.00527624941349008
FEL1,2048,0.64,nobias,unequalpi,dN,0.958034784132302,-0.0437443885154292,0.0887567365122479,0.0058985987207367
FEL2,128,0.0025,bias,equalpi,dN,0.29005298738598,1.49644694711112,2.66713983035138,5.18772037800458
FEL2,128,0.0025,bias,equalpi,dS,0.0188498837726286,5.06048027586413,7.35535418158842,30.7103996242972
FEL2,128,0.0025,bias,unequalpi,dN,0.330698228189201,1.1833160772628,2.37772801202248,4.7147297122611
FEL2,128,0.0025,bias,unequalpi,dS,0.014899892885231,4.99947446215291,7.10058414265236,29.3908194580111
FEL2,128,0.0025,nobias,equalpi,dN,0.270642905852721,0.780446955885547,1.94489313762055,3.75130791970624
FEL2,128,0.0025,nobias,equalpi,dS,0.021407125704373,4.07479680423511,5.04736673082044,9.79687464143084
FEL2,128,0.0025,nobias,unequalpi,dN,0.328680641866276,0.788023545055829,1.83115903711254,3.03647317356545
FEL2,128,0.0025,nobias,unequalpi,dS,-0.0717593153321337,4.06044899558302,5.65240920642045,17.5151598407288
FEL2,128,0.01,bias,equalpi,dN,0.392451813988772,0.223104004647919,0.876005741005576,0.803413520609386
FEL2,128,0.01,bias,equalpi,dS,-0.00204479735716671,1.68853427563248,2.41515199272572,4.32066728764525
FEL2,128,0.01,bias,unequalpi,dN,0.369385317644907,0.233897900259348,0.894361497747542,0.800275380851086
FEL2,128,0.01,bias,unequalpi,dS,-0.00350994209926416,1.7047378399224,2.4097523962839,3.73202070483453
FEL2,128,0.01,nobias,equalpi,dN,0.430160867712535,0.0719642996042844,0.678567368943541,0.481048860037385
FEL2,128,0.01,nobias,equalpi,dS,0.00608994006997194,1.11191953611599,2.15136788242341,13.4620142033377
FEL2,128,0.01,nobias,unequalpi,dN,0.401346297350776,0.0683580992014676,0.665487131944579,0.455470895183606
FEL2,128,0.01,nobias,unequalpi,dS,0.0104260894597168,1.14741118709189,2.06509034406027,7.31211960392225
FEL2,128,0.04,bias,equalpi,dN,0.527588582819611,0.121200320017289,0.517538548310752,0.255291951383834
FEL2,128,0.04,bias,equalpi,dS,0.063243136061146,0.473061213428997,1.09763229824086,1.21650129794709
FEL2,128,0.04,bias,unequalpi,dN,0.52383332568957,0.10630496149442,0.483749014437409,0.226507777474609
FEL2,128,0.04,bias,unequalpi,dS,0.0571979181515907,0.57355017374774,1.82687893129223,9.08690145480046
FEL2,128,0.04,nobias,equalpi,dN,0.577308458363069,0.0151269728640077,0.418528391637877,0.176543723171818
FEL2,128,0.04,nobias,equalpi,dS,0.00354449841738756,0.152243998473752,1.06722492750629,5.44010778550701
FEL2,128,0.04,nobias,unequalpi,dN,0.55575611390258,0.0181798074507812,0.411529577135014,0.17162552658657
FEL2,128,0.04,nobias,unequalpi,dS,-0.00648707322783499,0.177768482643171,1.09298842284818,2.73661198714855
FEL2,128,0.16,bias,equalpi,dN,0.692197188689954,0.086875703064393,0.318467765591275,0.0926037456618677
FEL2,128,0.16,bias,equalpi,dS,0.2079679644133,0.28151419128685,0.665621140709462,0.389635655408947
FEL2,128,0.16,bias,unequalpi,dN,0.695134160391838,0.0768295730616168,0.29745778976591,0.0822594259670339
FEL2,128,0.16,bias,unequalpi,dS,0.192828435965512,0.262744036567045,0.65848753808765,0.390051215787741
FEL2,128,0.16,nobias,equalpi,dN,0.730581505141048,-0.0201189976108507,0.250220908493779,0.0628021049042026
FEL2,128,0.16,nobias,equalpi,dS,0.0110248785772269,0.0334134767916538,0.380531947557281,0.148147433519372
FEL2,128,0.16,nobias,unequalpi,dN,0.730102922731762,-0.0162551230118819,0.246743611048719,0.060694147813849
FEL2,128,0.16,nobias,unequalpi,dS,0.00949013377858889,0.0289023627270178,0.390830754344455,0.155355649978274
FEL2,128,0.64,bias,equalpi,dN,0.868927611168718,0.0545683018316369,0.171722749646426,0.0247494975322315
FEL2,128,0.64,bias,equalpi,dS,0.440305946948428,0.298087985041927,0.510753604767813,0.1649418367515
FEL2,128,0.64,bias,unequalpi,dN,0.874658948767545,0.0375691783511385,0.156271504287689,0.0220061793116781
FEL2,128,0.64,bias,unequalpi,dS,0.44476853628858,0.277603384770096,0.494925691797955,0.160131439852563
FEL2,128,0.64,nobias,equalpi,dN,0.89131701809979,-0.0966647159841141,0.156090658282844,0.0135866161013521
FEL2,128,0.64,nobias,equalpi,dS,0.0225121547150833,0.030246449825816,0.248488394105604,0.0619216143851869
FEL2,128,0.64,nobias,unequalpi,dN,0.890288369574761,-0.109587291258277,0.163718353459407,0.0124959706343789
FEL2,128,0.64,nobias,unequalpi,dS,0.039038114319692,0.0323356374806938,0.271977441998381,0.0741425288244822
FEL2,256,0.0025,bias,equalpi,dN,0.31866496831112,0.429275041688786,1.31098943855199,1.877009585421
FEL2,256,0.0025,bias,equalpi,dS,-0.0286960563967176,2.80433332728697,3.83114006443934,7.24691095843928
FEL2,256,0.0025,bias,unequalpi,dN,0.331037590024627,0.44709937680392,1.25941051063027,1.6051686397035
FEL2,256,0.0025,bias,unequalpi,dS,0.0254620031771099,2.7830852211059,3.87365608865898,8.12538967530896
FEL2,256,0.0025,nobias,equalpi,dN,0.321686245329259,0.227024542568307,1.07598173790739,1.21450329367978
FEL2,256,0.0025,nobias,equalpi,dS,0.0137672788102317,1.92607038165034,2.58608107130092,3.17996138952152
FEL2,256,0.0025,nobias,unequalpi,dN,0.349209486526046,0.278657146583667,1.09191940539997,1.32274281919305
FEL2,256,0.0025,nobias,unequalpi,dS,-0.0145530762538568,2.19080549466027,3.09366524785802,5.10746621136842
FEL2,256,0.01,bias,equalpi,dN,0.436982536154416,0.165322854055436,0.705254660574977,0.486420707155595
FEL2,256,0.01,bias,equalpi,dS,0.024829326941609,0.856244088375438,1.61777223272223,3.76692425160132
FEL2,256,0.01,bias,unequalpi,dN,0.449070917401899,0.192951718343558,0.691374536540474,0.458582787926734
FEL2,256,0.01,bias,unequalpi,dS,-0.00217373229968475,0.810874771276492,1.33883090795349,1.15850972151451
FEL2,256,0.01,nobias,equalpi,dN,0.470507717165203,0.0368973550177607,0.554793172388599,0.318966879318523
FEL2,256,0.01,nobias,equalpi,dS,0.0295498107587594,0.364942167432335,1.05603216135804,1.49298274445813
FEL2,256,0.01,nobias,unequalpi,dN,0.479919744706983,0.00462360101832336,0.492176706471184,0.248605550408655
FEL2,256,0.01,nobias,unequalpi,dS,0.0139248945200925,0.486928377863078,1.63921316815612,21.7021824376226
FEL2,256,0.04,bias,equalpi,dN,0.57888931240072,0.103370091947402,0.436856004755158,0.181290714411044
FEL2,256,0.04,bias,equalpi,dS,0.131428744836485,0.31319604877949,0.88620906403866,1.20940846818195
FEL2,256,0.04,bias,unequalpi,dN,0.570610839814012,0.104061775715003,0.428569143362774,0.175135998345498
FEL2,256,0.04,bias,unequalpi,dS,0.131555436543739,0.317061816984709,0.943957102068366,1.09836054714422
FEL2,256,0.04,nobias,equalpi,dN,0.627934812686767,-0.000623974184995151,0.34617499060997,0.122454298444043
FEL2,256,0.04,nobias,equalpi,dS,-0.00416632305232488,0.0504169465862455,0.591723565246081,0.443096385121785
FEL2,256,0.04,nobias,unequalpi,dN,0.614388762125593,-0.00516865111796108,0.342983561574433,0.119456732880565
FEL2,256,0.04,nobias,unequalpi,dS,0.0129183631539886,0.0733195259332052,0.797534741176859,1.95744858189639
FEL2,256,0.16,bias,equalpi,dN,0.731541925551423,0.0830744160241392,0.283465178795786,0.0713737116039179
FEL2,256,0.16,bias,equalpi,dS,0.282134163084204,0.25689646131284,0.532465908811829,0.219132141800678
FEL2,256,0.16,bias,unequalpi,dN,0.741136182351832,0.071955338408676,0.258969248011404,0.0614494274918264
FEL2,256,0.16,bias,unequalpi,dS,0.256446986722647,0.237108962159276,0.511648013703153,0.20739180978951
FEL2,256,0.16,nobias,equalpi,dN,0.768680257906509,-0.0283769418538751,0.215453630591889,0.0457339060911377
FEL2,256,0.16,nobias,equalpi,dS,0.00590901559003352,0.0188403045706842,0.264414254517836,0.0714419204584615
FEL2,256,0.16,nobias,unequalpi,dN,0.774757052006959,-0.0190853017182344,0.210723609858286,0.0442866602497712
FEL2,256,0.16,nobias,unequalpi,dS,-0.0179828223947262,0.0155415768628822,0.280619149737011,0.0798780001244342
FEL2,256,0.64,bias,equalpi,dN,0.898403106983075,0.0545333950023192,0.150773612740456,0.0180729360461082
FEL2,256,0.64,bias,equalpi,dS,0.521252818088194,0.276943128038095,0.433036174072125,0.102999324530607
FEL2,256,0.64,bias,unequalpi,dN,0.897621417861686,0.033233253424789,0.135647531325569,0.016525574074687
FEL2,256,0.64,bias,unequalpi,dS,0.509471299165506,0.252286688062437,0.408046541661717,0.0967232773443125
FEL2,256,0.64,nobias,equalpi,dN,0.922273336725886,-0.100974337381478,0.144714263011072,0.00881401477718253
FEL2,256,0.64,nobias,equalpi,dS,0.0424950838058488,0.0160410649540292,0.175816800500751,0.0311546382868392
FEL2,256,0.64,nobias,unequalpi,dN,0.918941920768108,-0.109633459113817,0.151934215727803,0.00871922317025186
FEL2,256,0.64,nobias,unequalpi,dS,0.0543720393280382,0.0141750023167005,0.184564599052989,0.0345068319724895
FEL2,512,0.0025,bias,equalpi,dN,0.401925913768824,0.23469302334907,0.896307772716826,0.801023388097245
FEL2,512,0.0025,bias,equalpi,dS,0.0305384202664608,1.84617953574451,3.11522185849135,22.1072040667415
FEL2,512,0.0025,bias,unequalpi,dN,0.378997650579444,0.216204942153152,0.876050337272207,0.769974948866443
FEL2,512,0.0025,bias,unequalpi,dS,-0.0372050496597499,1.821219528446,3.0373738878766,19.6412485648515
FEL2,512,0.0025,nobias,equalpi,dN,0.440606111304981,0.0521884645955433,0.659585226974887,0.47142002449412
FEL2,512,0.0025,nobias,equalpi,dS,0.0256696443113225,0.970632990613874,1.49802709305072,1.36536799526014
FEL2,512,0.0025,nobias,unequalpi,dN,0.413857995323768,0.0606782536669243,0.666924580880374,0.463845141509457
FEL2,512,0.0025,nobias,unequalpi,dS,0.0048353867580638,1.02637171868671,1.61821951417595,1.64337770816652
FEL2,512,0.01,bias,equalpi,dN,0.488117041601468,0.133822750318074,0.557091340603068,0.299699126664677
FEL2,512,0.01,bias,equalpi,dS,0.0422648606881744,0.437168658392492,1.01959114318465,0.957289857681596
FEL2,512,0.01,bias,unequalpi,dN,0.474623934752654,0.137962510281743,0.572979971404767,0.32026046346021
FEL2,512,0.01,bias,unequalpi,dS,0.0751359732219341,0.508970120804468,1.45270062529821,4.93612741137912
FEL2,512,0.01,nobias,equalpi,dN,0.531672366158906,0.00674871251390687,0.437786751258582,0.195092061323211
FEL2,512,0.01,nobias,equalpi,dS,0.025226823608189,0.110175114378973,0.874002192443043,2.12414978702585
FEL2,512,0.01,nobias,unequalpi,dN,0.532177122584831,0.038182124980753,0.46409355093038,0.220224313673995
FEL2,512,0.01,nobias,unequalpi,dS,0.0162787632721696,0.114986902053365,0.701278372862015,0.510723525245329
FEL2,512,0.04,bias,equalpi,dN,0.604641525842804,0.0929395797318197,0.393232631568568,0.146620599901861
FEL2,512,0.04,bias,equalpi,dS,0.17409385581793,0.263992450640145,0.701300874990577,0.481219664669385
FEL2,512,0.04,bias,unequalpi,dN,0.617203386426036,0.0944877159736214,0.384420909991653,0.140311118001314
FEL2,512,0.04,bias,unequalpi,dS,0.168109736175964,0.253847676260747,0.691050383727988,0.429186652966507
FEL2,512,0.04,nobias,equalpi,dN,0.646677906201209,0.00717075518748156,0.32420778534484,0.10663871203846
FEL2,512,0.04,nobias,equalpi,dS,0.0165039225441477,0.0303460181679184,0.374200719416161,0.147929214675591
FEL2,512,0.04,nobias,unequalpi,dN,0.654489181041829,-0.000667260038163836,0.309654629378441,0.0965739684615876
FEL2,512,0.04,nobias,unequalpi,dS,0.0239454836967575,0.0381746875098936,0.451780450574884,0.239182852461089
FEL2,512,0.16,bias,equalpi,dN,0.774066544403532,0.0799478415437848,0.24930582095014,0.0539769922542095
FEL2,512,0.16,bias,equalpi,dS,0.324047995705741,0.248990557847941,0.465222341157762,0.154874175730263
FEL2,512,0.16,bias,unequalpi,dN,0.783384573555733,0.0696201419645323,0.23259806928716,0.0482915178907821
FEL2,512,0.16,bias,unequalpi,dS,0.291570230518899,0.230823981404094,0.455512875573465,0.155704103057649
FEL2,512,0.16,nobias,equalpi,dN,0.804905550248236,-0.0245651971231485,0.192935574977739,0.0369007085217451
FEL2,512,0.16,nobias,equalpi,dS,-0.010857349695853,0.0127734719463053,0.191108839735229,0.0369986380060414
FEL2,512,0.16,nobias,unequalpi,dN,0.806095612698762,-0.0251498168007107,0.188013615229203,0.0350085009484447
FEL2,512,0.16,nobias,unequalpi,dS,0.00883348938400122,0.0128711084030808,0.208625081882242,0.0440541042486636
FEL2,512,0.64,bias,equalpi,dN,0.919250567573088,0.0537808699927371,0.134693409753391,0.0137236055397352
FEL2,512,0.64,bias,equalpi,dS,0.595152584455551,0.263039477506566,0.384410607261084,0.0703404930591915
FEL2,512,0.64,bias,unequalpi,dN,0.925603787311041,0.0383186166970015,0.120760875876128,0.0121143558271392
FEL2,512,0.64,bias,unequalpi,dS,0.600755232630152,0.244266654428742,0.365757292020829,0.0659200832658887
FEL2,512,0.64,nobias,equalpi,dN,0.939938376552246,-0.101540546621862,0.137213575807274,0.0065453360775393
FEL2,512,0.64,nobias,equalpi,dS,0.045774351916025,0.00935584060005572,0.127066995733192,0.0163059343404054
FEL2,512,0.64,nobias,unequalpi,dN,0.938693569564491,-0.110328346852647,0.1445237865572,0.00643961427506197
FEL2,512,0.64,nobias,unequalpi,dS,0.0624495652460123,0.00841535442572989,0.13708361761462,0.0190172293262465
FEL2,1024,0.0025,bias,equalpi,dN,0.43268278656977,0.135498676229985,0.660371189294873,0.438260433724064
FEL2,1024,0.0025,bias,equalpi,dS,0.00213655548839243,0.863025204365024,1.66393426063128,5.91002427288857
FEL2,1024,0.0025,bias,unequalpi,dN,0.442092813639396,0.156318281830663,0.678798939477717,0.46622853157754
FEL2,1024,0.0025,bias,unequalpi,dS,0.00811830434481277,0.835235734702967,1.73678930113231,5.32856424523902
FEL2,1024,0.0025,nobias,equalpi,dN,0.471919658859161,0.0373951777495926,0.57207392190264,0.344771410488363
FEL2,1024,0.0025,nobias,equalpi,dS,0.0110188219944463,0.512364536103568,2.23125539824296,33.1478389716423
FEL2,1024,0.0025,nobias,unequalpi,dN,0.458653189908777,0.0323705825670438,0.552253547817778,0.326515320055977
FEL2,1024,0.0025,nobias,unequalpi,dS,0.00539551372751715,0.481954325516834,1.54839609771571,8.10070116286434
FEL2,1024,0.01,bias,equalpi,dN,0.529681193518828,0.110048807359471,0.500943081862912,0.244125506690686
FEL2,1024,0.01,bias,equalpi,dS,0.145764340366228,0.316251252541327,0.994846090128051,1.21360710707443
FEL2,1024,0.01,bias,unequalpi,dN,0.530174586822863,0.0980235123873136,0.476630945593145,0.224017268261783
FEL2,1024,0.01,bias,unequalpi,dS,0.114879678143935,0.284884619883923,0.90754078310495,1.00083787996441
FEL2,1024,0.01,nobias,equalpi,dN,0.555480365787511,0.000191929646298427,0.396827088674317,0.161755943790426
FEL2,1024,0.01,nobias,equalpi,dS,0.0108296855249153,0.0300096357232467,0.579528740855836,0.446811315309784
FEL2,1024,0.01,nobias,unequalpi,dN,0.56622369826564,0.0153104093770729,0.399804219208363,0.164394918888035
FEL2,1024,0.01,nobias,unequalpi,dS,0.00125750720161934,0.0439113840936395,0.622884461431511,0.663902245305843
FEL2,1024,0.04,bias,equalpi,dN,0.631342011895458,0.0963192115455015,0.376823145074422,0.132335206301849
FEL2,1024,0.04,bias,equalpi,dS,0.227277345706506,0.256515571207163,0.611875570898264,0.314354754558909
FEL2,1024,0.04,bias,unequalpi,dN,0.632514366642704,0.0921568945075106,0.354000282942876,0.117104806326595
FEL2,1024,0.04,bias,unequalpi,dS,0.190100112611608,0.238391154694385,0.592047509174545,0.298652323414192
FEL2,1024,0.04,nobias,equalpi,dN,0.684849121770955,-0.00105018402872306,0.285886916099029,0.0830352035067606
FEL2,1024,0.04,nobias,equalpi,dS,0.0173380925537896,0.0257799597806807,0.28836116717207,0.0880248778410877
FEL2,1024,0.04,nobias,unequalpi,dN,0.672716126357689,0.00305154056989865,0.291757964832051,0.0869775106892518
FEL2,1024,0.04,nobias,unequalpi,dS,0.0164649730309539,0.0238853189483831,0.306133054491833,0.0970861688824636
FEL2,1024,0.16,bias,equalpi,dN,0.796410640364979,0.0788721941613061,0.231655659915422,0.0457365590203829
