method,ntaxa,bl,biastype,pitype,r,estbias,rmsd,resvar
FEL1,512,0.16,bias,unequalpi,0.759949572288201,-0.00487914947750815,0.236508413838704,0.0566233372605898
FEL1,512,0.16,nobias,equalpi,0.804889729612298,-0.00809326054388963,0.19802492126725,0.0396311131967555
FEL1,512,0.16,nobias,unequalpi,0.806141654992878,-0.00272914375886429,0.19462988763236,0.0384204874611468
FEL1,512,0.64,bias,equalpi,0.892428813552753,-0.00548300016214451,0.145116394414049,0.021194014191897
FEL1,512,0.64,bias,unequalpi,0.899193351893343,-0.00912613198547277,0.138951992448721,0.0194355158645797
FEL1,512,0.64,nobias,equalpi,0.939931564804995,-0.0427951705562253,0.103127689769179,0.00877124728100631
FEL1,512,0.64,nobias,unequalpi,0.938726919180236,-0.0421785889717661,0.103564664514954,0.00893723835788022
FEL1,1024,0.0025,bias,equalpi,0.398560888345197,0.0830030372410666,0.657151242830441,0.441546023314613
FEL1,1024,0.0025,bias,unequalpi,0.404187787168418,0.0917745694983365,0.655817641673568,0.441352961144363
FEL1,1024,0.0025,nobias,equalpi,0.45145761595969,0.064516283751203,0.579061783005434,0.34672930561092
FEL1,1024,0.0025,nobias,unequalpi,0.43076719848319,0.0586576053947178,0.559268038918649,0.325614772027959
FEL1,1024,0.01,bias,equalpi,0.506634034039109,0.0150897631467346,0.494121984386081,0.252201387184062
FEL1,1024,0.01,bias,unequalpi,0.507283699345073,0.0101719013924238,0.473776393851942,0.23230273465688
FEL1,1024,0.01,nobias,equalpi,0.552077777044182,0.0065147361626451,0.402612021359627,0.166470189321289
FEL1,1024,0.01,nobias,unequalpi,0.563474325524493,0.0237575361497367,0.406242100708879,0.169171410886936
FEL1,1024,0.04,bias,equalpi,0.603131223857599,0.00572011455649825,0.3761587751676,0.144102513151767
FEL1,1024,0.04,bias,unequalpi,0.614638184517128,0.0116275241674252,0.353631472360058,0.126588686089179
FEL1,1024,0.04,nobias,equalpi,0.682880741265449,0.00799540515127179,0.292030144873511,0.086717156842361
FEL1,1024,0.04,nobias,unequalpi,0.671540818371076,0.0164586926246354,0.300007830027533,0.0918066300661273
FEL1,1024,0.16,bias,equalpi,0.774438773939522,-0.0046691195935849,0.229491737840904,0.0530714126734537
FEL1,1024,0.16,bias,unequalpi,0.783203736322984,-0.00477399768180329,0.219681993911722,0.0486403973265833
FEL1,1024,0.16,nobias,equalpi,0.826567960874715,-0.0133960401309168,0.181298344181823,0.033030483840733
FEL1,1024,0.16,nobias,unequalpi,0.835149587998199,-0.00780220854258856,0.175045101250502,0.0307076743988406
FEL1,1024,0.64,bias,equalpi,0.904924720352584,-0.00952041683302622,0.133878025950017,0.0180901719788903
FEL1,1024,0.64,bias,unequalpi,0.913104420144575,-0.0119711614378109,0.126933988146941,0.0161563954536595
FEL1,1024,0.64,nobias,equalpi,0.951721669998562,-0.0442730935548046,0.0944333457112263,0.0068708205079932
FEL1,1024,0.64,nobias,unequalpi,0.949694846483333,-0.0431282181934219,0.0945654580548308,0.00697263635063554
FEL1,2048,0.0025,bias,equalpi,0.439731091979287,0.039618283013699,0.579111095321645,0.351759661012414
FEL1,2048,0.0025,bias,unequalpi,0.442130635112404,0.0430489019062371,0.566285526689995,0.333700477914761
FEL1,2048,0.0025,nobias,equalpi,0.513350263505305,0.0234271528593183,0.462811574033184,0.219337469372897
FEL1,2048,0.0025,nobias,unequalpi,0.516444039033779,0.0162033336432633,0.446694956058296,0.206564923572481
FEL1,2048,0.01,bias,equalpi,0.538549750321207,0.0106661223493834,0.4454491608024,0.205307243085001
FEL1,2048,0.01,bias,unequalpi,0.537869442090229,0.0251489840416174,0.460216514569309,0.220543836004535
FEL1,2048,0.01,nobias,equalpi,0.600100643067236,0.00632439953030951,0.368395756954573,0.139576122947141
FEL1,2048,0.01,nobias,unequalpi,0.596714991913811,0.0243028861005754,0.380081047181998,0.147123711441771
FEL1,2048,0.04,bias,equalpi,0.621324991623038,0.000926742816287939,0.354625857734608,0.128362717883106
FEL1,2048,0.04,bias,unequalpi,0.635531568460976,0.0161431744311093,0.344246055304969,0.120947199924829
FEL1,2048,0.04,nobias,equalpi,0.697021048937062,0.00152151298679867,0.280120762398933,0.0799919890515589
FEL1,2048,0.04,nobias,unequalpi,0.693993740678229,0.0127503722135111,0.280770209576451,0.0801933567411411
FEL1,2048,0.16,bias,equalpi,0.793053451774815,-0.0038494638815886,0.216587146720404,0.0471041746450298
FEL1,2048,0.16,bias,unequalpi,0.80674932875672,-0.000637648671413619,0.203255508156216,0.0415774415813485
FEL1,2048,0.16,nobias,equalpi,0.852568366951391,-0.0106966654424744,0.1652238607686,0.0274721278028033
FEL1,2048,0.16,nobias,unequalpi,0.857132468303914,-0.00854859846030519,0.159593935527288,0.0257154755412307
FEL1,2048,0.64,bias,equalpi,0.916720592000859,-0.00766222473670559,0.125378340917979,0.0158650183107018
FEL1,2048,0.64,bias,unequalpi,0.917978365685477,-0.0139249593363623,0.12155209530479,0.0146805985580287
FEL1,2048,0.64,nobias,equalpi,0.962524818713739,-0.0436351613760857,0.0852150550239118,0.00527624941349006
FEL1,2048,0.64,nobias,unequalpi,0.958034784135516,-0.0437443885249927,0.0887567365126273,0.00589859872029433
FEL2,128,0.0025,bias,equalpi,0.302071580258482,-0.474389045719409,0.548855904255465,0.000888961096341358
FEL2,128,0.0025,bias,unequalpi,0.133209503249266,-0.448130908255699,0.555792538887255,0.0590066504568888
FEL2,128,0.0025,nobias,equalpi,0.310921473633091,-0.373056507183313,0.474095205933979,0.0463064551475148
FEL2,128,0.0025,nobias,unequalpi,0.521079724847573,-0.336402174366864,0.416530180361112,0.0188077354558451
FEL2,128,0.01,bias,equalpi,0.415257603727417,-0.316059395354195,0.498419211044023,0.136398085860833
FEL2,128,0.01,bias,unequalpi,0.0574181561552734,-0.264540208682668,0.525075218933051,0.152255750404043
FEL2,128,0.01,nobias,equalpi,0.419911924821153,-0.138953597385697,0.552480560909135,0.295179794846562
FEL2,128,0.01,nobias,unequalpi,0.449392695511655,-0.10832503117159,0.487553431074705,0.234607666958636
FEL2,128,0.04,bias,equalpi,0.368657790904199,0.0435963543230036,0.731572632548666,0.556313264993523
FEL2,128,0.04,bias,unequalpi,0.386058635308348,0.0812496724370799,0.876767394746705,1.09691739198859
FEL2,128,0.04,nobias,equalpi,0.452643166753247,0.149822539925361,0.803176325204203,0.64596857991153
FEL2,128,0.04,nobias,unequalpi,0.469048315768348,0.164914632790923,0.765190612781467,0.564370469999579
FEL2,128,0.16,bias,equalpi,0.441560383284325,0.123446685797429,0.815882167616955,0.738421946715269
FEL2,128,0.16,bias,unequalpi,0.48178032036826,0.125671981791371,0.73264278559706,0.606834080538839
FEL2,128,0.16,nobias,equalpi,0.59773622978103,0.0342468789562376,0.405341428268397,0.171548879199628
FEL2,128,0.16,nobias,unequalpi,0.546149164803219,0.0786907838369872,0.637351035715965,1.07063049198325
FEL2,128,0.64,bias,equalpi,0.719215370059425,-0.0279605461487993,0.29146586389075,0.0871020754787072
FEL2,128,0.64,bias,unequalpi,0.70670270920362,-0.0309116347905632,0.303381622072559,0.0972583307185012
FEL2,128,0.64,nobias,equalpi,0.810642880041664,-0.0859659925410816,0.19490487138949,0.0299316207957552
FEL2,128,0.64,nobias,unequalpi,0.785123441867707,-0.0954433531872603,0.207818405848766,0.0328083365925772
FEL2,256,0.0025,nobias,equalpi,0.256042451785679,-0.284288775797639,0.492070642392006,0.134836298312586
FEL2,256,0.01,bias,equalpi,0.382126245927054,-0.101885011336259,0.641035783717745,0.413063670430124
FEL2,256,0.01,bias,unequalpi,0.494984808875524,-0.143639477273053,0.523715776191283,0.266095974105066
FEL2,256,0.01,nobias,equalpi,0.425584849148664,0.010708148719756,0.65388988051543,0.457733980795625
FEL2,256,0.01,nobias,unequalpi,0.444091858096491,-0.0728631738113884,0.588002063832606,0.362517922343806
FEL2,256,0.04,bias,equalpi,0.437078157273833,0.147032256964997,0.82944074761292,0.684491500870803
FEL2,256,0.04,bias,unequalpi,0.399693987460807,0.207440333508179,0.989057190124975,0.996944157233979
FEL2,256,0.04,nobias,equalpi,0.46348363320116,0.127545941434917,0.722352721991505,0.552907748728463
FEL2,256,0.04,nobias,unequalpi,0.456168550799412,0.130264921681502,0.701105225309306,0.511265247795327
FEL2,256,0.16,bias,equalpi,0.580605907206325,0.0392654881453209,0.465421689108462,0.225440610300509
FEL2,256,0.16,bias,unequalpi,0.586785938524308,0.0467086030394905,0.450323480620239,0.207335601188796
FEL2,256,0.16,nobias,equalpi,0.68815218560899,-0.00238910352254911,0.288608229448662,0.08464712387682
FEL2,256,0.16,nobias,unequalpi,0.683870037433495,0.0168065109517747,0.299090191589232,0.0909044148616194
FEL2,256,0.64,bias,equalpi,0.788714134696176,-0.0435859636439407,0.222087982967281,0.0476384633405612
FEL2,256,0.64,bias,unequalpi,0.773825293349298,-0.0492520583619444,0.232338238418655,0.0523512855397426
FEL2,256,0.64,nobias,equalpi,0.872722482125392,-0.096052137199149,0.164763120982383,0.0164171745684338
FEL2,256,0.64,nobias,unequalpi,0.859299417707287,-0.10165405356937,0.172666358252133,0.0178016227029893
FEL2,512,0.0025,bias,equalpi,0.498633712012559,-0.293638028709527,0.433183890109944,0.0897027442344145
FEL2,512,0.0025,bias,unequalpi,0.319602956832417,-0.358680552209672,0.487338507169425,0.064005966285083
FEL2,512,0.0025,nobias,equalpi,0.318177927144689,-0.237948897924338,0.483446982563182,0.162933365165161
FEL2,512,0.0025,nobias,unequalpi,0.40067835768559,-0.195974056066761,0.497210541426575,0.211537884131479
FEL2,512,0.01,bias,equalpi,0.426394507681355,0.0734180222910532,0.698814279975667,0.503209417488303
FEL2,512,0.01,bias,unequalpi,0.33999886187157,0.119620131613427,0.884430740210683,0.792580979230937
FEL2,512,0.01,nobias,equalpi,0.380001939427776,0.158339644084879,0.88649287195553,0.772218646179772
FEL2,512,0.01,nobias,unequalpi,0.472989838782696,0.132980426960784,0.691717617058783,0.470801055089153
FEL2,512,0.04,bias,equalpi,0.442655471189786,0.136806580441808,0.831451636731259,0.828457849077554
FEL2,512,0.04,bias,unequalpi,0.441442987712935,0.15925602531542,0.850285329368851,0.799645874008229
FEL2,512,0.04,nobias,equalpi,0.550402686228578,0.0618699292246425,0.463344479817017,0.216352104954087
FEL2,512,0.04,nobias,unequalpi,0.512945274920166,0.0703886936507781,0.518122936298463,0.284930471291116
FEL2,512,0.16,bias,equalpi,0.640077270977104,0.0349663763570473,0.562147497261488,2.12389804663443
FEL2,512,0.16,bias,unequalpi,0.634021440677018,0.0211708813890716,0.380893075442164,0.152513151596977
FEL2,512,0.16,nobias,equalpi,0.755199482008483,-0.0121002124938129,0.23109990790247,0.0539889124645174
FEL2,512,0.16,nobias,unequalpi,0.736053893549136,-0.00766507816244055,0.2420279185031,0.0596629574907474
FEL2,512,0.64,bias,equalpi,0.82998957290608,-0.0508761528400274,0.189894267262709,0.0338053519910005
FEL2,512,0.64,bias,unequalpi,0.824918834704397,-0.0537049720656815,0.198682435256367,0.0374168310231918
FEL2,512,0.64,nobias,equalpi,0.909428938267224,-0.100082458931923,0.149592653732142,0.0105254907416374
FEL2,512,0.64,nobias,unequalpi,0.899157902184389,-0.106363427791091,0.15785886930811,0.0116973668891275
FEL2,1024,0.0025,bias,equalpi,0.357696243179947,-0.106452711304192,0.6007614784548,0.372915764716768
FEL2,1024,0.0025,bias,unequalpi,0.385848463229931,-0.148191140515721,0.600452432728572,0.347890038242896
FEL2,1024,0.0025,nobias,equalpi,0.362816965683546,0.0702122292475993,0.879707178457047,0.848934938484593
FEL2,1024,0.0025,nobias,unequalpi,0.372255083903093,0.0216788947637236,0.675840351492613,0.483781997021831
FEL2,1024,0.01,bias,equalpi,0.404956814850657,0.14761616359266,0.891855778325457,0.829324836626159
FEL2,1024,0.01,bias,unequalpi,0.32207898845897,0.222267038128428,1.10527876797549,1.29584177793195
FEL2,1024,0.01,nobias,equalpi,0.468351284527507,0.128461102023386,0.666098199351572,0.439912732814761
FEL2,1024,0.01,nobias,unequalpi,0.420418812843818,0.144475598837777,0.755900042086483,0.605157125211087
FEL2,1024,0.04,bias,equalpi,0.496001496435871,0.0842588856348444,0.615885430004775,0.404500114683991
FEL2,1024,0.04,bias,unequalpi,0.462104128618804,0.116251221270022,0.711656772875158,0.537177282819321
FEL2,1024,0.04,nobias,equalpi,0.610833779280092,0.0251277298266911,0.363014621189125,0.134407144012998
FEL2,1024,0.04,nobias,unequalpi,0.598316002100581,0.0339432816319857,0.369503502721706,0.138515241568852
FEL2,1024,0.16,bias,equalpi,0.683572149795439,-0.000598439779658556,0.323807378481607,0.1081164532233
FEL2,1024,0.16,bias,unequalpi,0.680631223988707,-0.00194492224998383,0.323887940435725,0.11259671323261
FEL2,1024,0.16,nobias,equalpi,0.788745181607048,-0.0246165414820393,0.20281174175289,0.0409487284324938
FEL2,1024,0.16,nobias,unequalpi,0.791995050572451,-0.0205232642847832,0.199899096295498,0.039800993446646
FEL2,1024,0.64,bias,equalpi,0.862233907732342,-0.0536881397761312,0.167529430475795,0.0252852501498869
FEL2,1024,0.64,bias,unequalpi,0.860884734889407,-0.0602501993805731,0.171132292997774,0.025825560191096
FEL2,1024,0.64,nobias,equalpi,0.929687956985869,-0.101850767485815,0.141881858527592,0.00782334028102897
FEL2,1024,0.64,nobias,unequalpi,0.922663805730171,-0.109540687603822,0.150504194615936,0.00809327717552757
FEL2,2048,0.0025,bias,equalpi,0.409799820116025,0.0540797216461429,0.683863119200093,0.476524912608308
FEL2,2048,0.0025,bias,unequalpi,0.406426365974421,0.117674686395524,0.81170214576097,0.676515583055951
FEL2,2048,0.0025,nobias,equalpi,0.428102711742428,0.149376209435707,0.824394487033297,0.680106618393806
FEL2,2048,0.0025,nobias,unequalpi,0.373338394790953,0.114172686383576,0.714555937577795,0.5043596211919
FEL2,2048,0.01,bias,equalpi,0.403451542585679,0.225976144673724,1.12460168473211,1.39630210674031
FEL2,2048,0.01,bias,unequalpi,0.388754752039684,0.28570849418822,1.23904057755146,1.81902607789321
FEL2,2048,0.01,nobias,equalpi,0.525093685398797,0.0687316327484556,0.53151232351812,0.313974614302678
FEL2,2048,0.01,nobias,unequalpi,0.517388426683726,0.094919394267851,0.597467250233168,0.408904744373987
FEL2,2048,0.04,bias,equalpi,0.536416030677769,0.0565660253891886,0.539396970813976,0.307844363775246
FEL2,2048,0.04,bias,unequalpi,0.542110432241745,0.0694203696833147,0.523193446109266,0.282810284612972
FEL2,2048,0.04,nobias,equalpi,0.667395925422548,0.00339454700945795,0.306299291540789,0.0957991672129847
FEL2,2048,0.04,nobias,unequalpi,0.651421146499865,0.0170237426261458,0.316455595130543,0.1013757028123
FEL2,2048,0.16,bias,equalpi,0.725508216374461,-0.00413399585138402,0.283344816087538,0.0815757423902903
FEL2,2048,0.16,bias,unequalpi,0.728156273701208,-0.000846325609297556,0.279064678348964,0.0793424696327644
FEL2,2048,0.16,nobias,equalpi,0.82482455529881,-0.0265649270586538,0.179742989638804,0.0318123354659977
FEL2,2048,0.16,nobias,unequalpi,0.821336367956817,-0.0250659258425374,0.180041762063991,0.0320895709740909
FEL2,2048,0.64,bias,equalpi,0.884492890569531,-0.0535362683628458,0.153531026645219,0.0205882440779241
FEL2,2048,0.64,bias,unequalpi,0.874949959294428,-0.0642096853884149,0.160959448755631,0.0213626318489652
FEL2,2048,0.64,nobias,equalpi,0.948989136319171,-0.101696490975233,0.133444653358428,0.00550486854837648
FEL2,2048,0.64,nobias,unequalpi,0.939955043234042,-0.110221467504624,0.143873153635638,0.00633358036679612
FUBAR1,128,0.0025,bias,equalpi,0.163882833306563,0.245593224883724,0.729454073147528,0.532142578263064
FUBAR1,128,0.0025,bias,unequalpi,0.170461387283899,0.196466459748896,0.688898608208204,0.551692156715206
FUBAR1,128,0.0025,nobias,equalpi,0.180258238042687,0.227040089683736,0.604857081979547,0.354039673564218
FUBAR1,128,0.0025,nobias,unequalpi,0.193105748443924,0.196086714726774,0.550380555523119,0.267377657739228
FUBAR1,128,0.01,bias,equalpi,0.294218837870408,0.0841553498997187,0.459016142601498,0.200207176208644
FUBAR1,128,0.01,bias,unequalpi,0.273138332752818,0.0744372508496632,0.476549374386803,0.213728574269262
FUBAR1,128,0.01,nobias,equalpi,0.343176589008977,0.0983066556015871,0.396960450521963,0.140871009219462
FUBAR1,128,0.01,nobias,unequalpi,0.346123208183339,0.0770320701267735,0.36794079767366,0.113198843085386
FUBAR1,128,0.04,bias,equalpi,0.496370897410243,0.0296415982813225,0.389868915587168,0.151384124738526
FUBAR1,128,0.04,bias,unequalpi,0.494836662622855,0.0218760060749289,0.363428494845606,0.129667940800711
FUBAR1,128,0.04,nobias,equalpi,0.562356128833495,0.0456356611672903,0.328484144451871,0.106182545382477
FUBAR1,128,0.04,nobias,unequalpi,0.554029824615912,0.0489541758667735,0.320091870726272,0.100122311352832
FUBAR1,128,0.16,bias,equalpi,0.683399186214108,0.011101735108402,0.275793919287253,0.0765332867394299
FUBAR1,128,0.16,bias,unequalpi,0.686380414584718,0.0128814286631842,0.263076720128301,0.0687740205032178
FUBAR1,128,0.16,nobias,equalpi,0.745040120185157,0.0234906136397257,0.232961101192259,0.0548145744055007
FUBAR1,128,0.16,nobias,unequalpi,0.747257087991904,0.0296827929067735,0.227188458825854,0.0513288497240185
FUBAR1,128,0.64,bias,equalpi,0.85127163640759,0.0221171220153204,0.174620912837347,0.0302906198111686
FUBAR1,128,0.64,bias,unequalpi,0.852247758519128,0.0223996521546276,0.17022388005422,0.0287156346485064
FUBAR1,128,0.64,nobias,equalpi,0.899889839026137,0.0192091543501248,0.135699703920166,0.0182231112596638
FUBAR1,128,0.64,nobias,unequalpi,0.899412478326833,0.0231032459367735,0.133723460460698,0.0175434762266851
FUBAR1,256,0.0025,bias,equalpi,0.186662875767224,0.130921677280176,0.548527286958547,0.289071370349663
FUBAR1,256,0.0025,bias,unequalpi,0.210189393837483,0.114547702544459,0.526742942976257,0.268664050018053
FUBAR1,256,0.0025,nobias,equalpi,0.228963721846187,0.148219163976574,0.488595879636951,0.210332452821765
FUBAR1,256,0.0025,nobias,unequalpi,0.238038412702216,0.142327882526774,0.496453001414511,0.232465296532582
FUBAR1,256,0.01,bias,equalpi,0.365302945715923,0.0495697671684166,0.455330670879907,0.20503787806708
FUBAR1,256,0.01,bias,unequalpi,0.375275524860198,0.0529962427589368,0.43822148158016,0.18557394877874
FUBAR1,256,0.01,nobias,equalpi,0.421428484670007,0.065055101316213,0.382993536715389,0.140224296576996
FUBAR1,256,0.01,nobias,unequalpi,0.43630502862849,0.0417156903267735,0.349337348821679,0.113453984576158
FUBAR1,256,0.04,bias,equalpi,0.557569898233486,0.0197594945437171,0.366085562353325,0.136419777370711
FUBAR1,256,0.04,bias,unequalpi,0.550173576637489,0.0175858952674457,0.353122325632048,0.12694177632803
FUBAR1,256,0.04,nobias,equalpi,0.632932758666009,0.0298249950433529,0.302629859455108,0.0936102190413846
FUBAR1,256,0.04,nobias,unequalpi,0.616919492271564,0.0322003958867735,0.305351294253404,0.093911153263311
FUBAR1,256,0.16,bias,equalpi,0.723635321678906,0.00755650219058139,0.258172101282478,0.0671381441085828
FUBAR1,256,0.16,bias,unequalpi,0.730254064327481,0.00786116644277895,0.242022535463908,0.0586292754713048
FUBAR1,256,0.16,nobias,equalpi,0.778424020292926,0.0188857264849111,0.213174328598301,0.0457629299245575
FUBAR1,256,0.16,nobias,unequalpi,0.785297008846194,0.0298636056807735,0.209088973925181,0.0435315735451716
FUBAR1,256,0.64,bias,equalpi,0.87800872179762,0.0200435813498695,0.157178772217285,0.024597462477686
FUBAR1,256,0.64,bias,unequalpi,0.874572339211303,0.0196533389416056,0.155597439334046,0.0240582156705452
FUBAR1,256,0.64,nobias,equalpi,0.928307030362254,0.0167071623256548,0.113752024225138,0.012663798141818
FUBAR1,256,0.64,nobias,unequalpi,0.925261712434952,0.0244559232927735,0.117167170526014,0.0130776323394092
FUBAR1,512,0.0025,bias,equalpi,0.289733560063919,0.0896190564808845,0.473628819053816,0.207777405356465
FUBAR1,512,0.0025,bias,unequalpi,0.291642782714937,0.0696820801632556,0.467935419934518,0.210971515443244
FUBAR1,512,0.0025,nobias,equalpi,0.356679813274069,0.084884073513494,0.369786895485981,0.122855762971197
FUBAR1,512,0.0025,nobias,unequalpi,0.327174446347688,0.0800422647267735,0.39413420491885,0.135562785051997
FUBAR1,512,0.01,bias,equalpi,0.448932730648042,0.0322586946601434,0.422702899604386,0.178046477355564
FUBAR1,512,0.01,bias,unequalpi,0.439527859977213,0.039169337847773,0.435224011903259,0.19043136246791
FUBAR1,512,0.01,nobias,equalpi,0.51680752665333,0.0405019977183893,0.353937019586233,0.125274950331829
FUBAR1,512,0.01,nobias,unequalpi,0.504981196288728,0.0563000336667735,0.378287365030837,0.145197841662808
FUBAR1,512,0.04,bias,equalpi,0.580369953267481,0.0124818068381836,0.361963277553991,0.133037076203019
FUBAR1,512,0.04,bias,unequalpi,0.598716014633518,0.0156392641834812,0.347454886132952,0.12351440783722
FUBAR1,512,0.04,nobias,equalpi,0.64735930301458,0.0335192564581805,0.310518921791253,0.0972920224980661
FUBAR1,512,0.04,nobias,unequalpi,0.65828086654296,0.0300451375467735,0.29376646971184,0.0869243055672263
FUBAR1,512,0.16,bias,equalpi,0.755800590885779,0.00805683564193512,0.239337089693603,0.0580717641140641
FUBAR1,512,0.16,bias,unequalpi,0.765549437950829,0.00517338805565659,0.226287717457877,0.0518614721901825
FUBAR1,512,0.16,nobias,equalpi,0.808638584746918,0.0197285754287764,0.198776673092937,0.0397173151308489
FUBAR1,512,0.16,nobias,unequalpi,0.811801182600023,0.0251670725147735,0.194568431086439,0.0378076558952827
FUBAR1,512,0.64,bias,equalpi,0.89596955125153,0.0219435664047131,0.145737988511138,0.0209702945378613
FUBAR1,512,0.64,bias,unequalpi,0.90273575412283,0.0212556257443663,0.139417808008171,0.0192596087800205
FUBAR1,512,0.64,nobias,equalpi,0.945432243354538,0.0138976937015148,0.0985315937689571,0.00943299400345083
